,employee_residence,x,y
1,AE,100000,300000
2,AR,60000,60000
3,AT,76738.67,230216
4,AU,108042.67,324128
5,BE,85699,171398
6,BG,80000,80000
7,BO,75000,75000
8,BR,54634.67,327808
9,CA,97085.31,2815474
10,CH,122346,122346
11,CL,40038,40038
12,CN,43331,43331
13,CO,21844,21844
14,CZ,69999,69999
15,DE,85552.56,2138814
16,DK,37252.5,74505
17,DZ,100000,100000
18,EE,32974,32974
19,ES,57593.4,863901
20,FR,59886.61,1077959
21,GB,81403.16,3581739
22,GR,56331.23,732306
23,HK,66022,66022
24,HN,20000,20000
25,HR,45618,45618
26,HU,35997,71994
27,IE,71444,71444
28,IN,37322.33,1119670
29,IQ,100000,100000
30,IR,4000,4000
31,IT,61600,246400
32,JE,100000,100000
33,JP,103537.71,724764
34,KE,9272,9272
35,LU,59102,59102
36,MD,18000,18000
37,MT,28369,28369
38,MX,18185,36370
39,MY,200000,200000
40,NG,30000,60000
41,NL,60956.6,304783
42,NZ,125000,125000
43,PH,45760,45760
44,PK,27462.83,164777
45,PL,56177.5,224710
46,PR,160000,160000
47,PT,42862.5,257175
48,RO,51419,102838
49,RS,25532,25532
50,RU,105750,423000
51,SG,104176.5,208353
52,SI,63831,127662
53,TN,31875,31875
54,TR,20096.67,60290
55,UA,13400,13400
56,US,149194.12,49532447
57,VN,30800,92400
